;;;;;;;
Оценка склада (в розничных ценах) ;;;;;;;
;;;;;;;
Параметры:;;Дата отчета: 13.02.2026 0:00:00;;;;;
;;Вид цены: ;;;;;
;;;;;;;
Склад;;;;;Остаток на складе;Себестоимость;Стоимость ( в розничных ценах)
Номенклатура, Ед. изм.;;;;;;;
;;;;
Брелок футб. Jögel Forza /JSH3003/(сороконож.) (07218), шт;;;;;1,000;;1 370,00
Брелок футб. Jögel дет.Rapido /JSH3001/(сорокон..) (07221), шт;;;;;1,000;;1 100,00
Брелок футб.Atemi, шт;;;;;1,000;;
Брелок футбол Jogel Mondo, шт;;;;;3,000;;
Брызговик резин.на вело крыло, шт;;;;;5,000;;300,00
Бубенцы бол., шт;;;;;14,000;98,00;280,00
Бубенцы мал.(рыболовн.), шт;;;;;91,000;364,00;1 365,00
"Бубенцы с ""крокодилом"".(рыболовн.), шт";;;;;5,000;;100,00
Булавы  Eclectica 35см (пластик,резина) 02027, шт;;;;;1,000;;1 190,00
Бумага для выпечки 6м 30см, шт;;;;;4,000;;240,00
Бутылка 350 мл /В-100/  (07470), шт;;;;;2,000;;1 280,00
Бутылка 570 мл /7367/ (07654), шт;;;;;1,000;95,00;250,00
Бутылка 750 мл /YY-613/ (07903), шт;;;;;1,000;;590,00
Бутылка 780 мл /YY-302/    06461, шт;;;;;3,000;;1 770,00
Бутылка 850 мл /YY-152/  06317, шт;;;;;2,000;;1 460,00
Бутылка 900 мл /DB-1455/   (07904), шт;;;;;2,000;;1 480,00
Бутылка Espado,  700 мл /ES907/  (06515), шт;;;;;2,000;;780,00
Бутылка велосипедная MERIDA 750 мл. IMM-345, шт;;;;;2,000;640,00;560,00
Бутылка д. воды TORRES/SS1028/ 750 мл(02863), шт;;;;;1,000;168,00;450,00
Бутылка для водыSport (F), шт;;;;;1,000;184,00;435,00
Бутылка-шейкер Espado, 600 мл /ES904/ (07150), шт;;;;;1,000;;420,00
"В.3-х кол.с ручк.управл.кол.EVA 10""/8"" Венера"",розовый,корзина, шт";;;;;1,000;;8 320,00
Вал каретки Индия, гайки, Квадрат, шт;;;;;2,000;270,00;180,00
Вал каретки Минск, резьбовая ВКМ-4, шт;;;;;2,000;;180,00
Вал каретки под подш., шт;;;;;2,000;;
Вал с резьбой,902,круг в компл. (VL-3411), шт;;;;;1,000;140,00;270,00
Валик для йоги пенный 60х15 см  (10398Д), шт;;;;;1,000;;1 790,00
Ведро складное 5л. (AF), шт;;;;;1,000;145,00;430,00
