;;;;;;;
Оценка склада (в розничных ценах) ;;;;;;;
;;;;;;;
Параметры:;;Вид цены: ;;;;;
;;;;;;;
Склад;;;;;Остаток на складе;Себестоимость;Стоимость ( в розничных ценах)
Номенклатура, Ед. изм.;;;;s;;;
;;;;;;
, ;;;;;1,000;;
Набор для стрижки Centek CT-2133 (красный) 4 насадки, 4 гребня, база с подзарядкой, шт;;;;;1,000;1 346,92;2 250,00
"Набор иголок ""Рушничок"", шт";;;;;2,000;30,00;60,00
Набор иголок F4A, шт;;;;;2,000;120,00;200,00
Набор иголок Армейские, шт;;;;;9,000;144,00;270,00
Набор инструментов для разборки и открытия корпусов (6 в 1) INO12, шт;;;;;1,000;290,00;520,00
Набор лерок 11 , шт;;;;;1,000;430,00;750,00
Набор микрофонов ERM-13 (2шт), шт;;;;;1,000;4 100,00;6 560,00
Набор микрофонов беспр. ERM-11 (2шт), шт;;;;;1,000;1 150,00;1 980,00
Набор микрофонов беспр. ERM-15 (4шт), шт;;;;;1,000;2 300,00;3 890,00
Набор нож+решетка для мясорубки (Tefal,Moulinex), шт;;;;;3,000;330,00;690,00
Набор отверток  5-1двухстор.  AF-555           3х200, шт;;;;;2,000;200,00;400,00
Набор отверток -7395, шт;;;;;1,000;260,00;440,00
Набор отверток 2039,618,7389, шт;;;;;1,000;180,00;330,00
Набор отверток 6032, шт;;;;;3,000;420,00;720,00
Набор отверток 683(ремонт электр.), шт;;;;;1,000;270,00;450,00
Набор отверток SW-6A-2 , шт;;;;;2,000;360,00;700,00
Набор отверток в кож.чехле, шт;;;;;1,000;250,00;425,00
Набор отверток стакан  (31-1), шт;;;;;1,000;110,00;190,00
Набор подарочный фляжка с рюмками , шт;;;;;5,000;1 950,00;3 500,00
Набор подарочный фляжка с рюмками (б), шт;;;;;1,000;690,00;1 200,00
Набор подарочный фляжка с рюмками (кож.отдел.) , шт;;;;;1,000;540,00;920,00
Набор резцов по дереву (6 шт), шт;;;;;1,000;120,00;210,00
"Набор свечей для торта ""Фонтан"" 10 см 12 шт/уп 40 уп/кор FT10, шт";;;;;1,000;230,00;390,00
Набор термоусадочных трубок    5х85, шт;;;;;8,000;440,00;760,00
"Набор термоусаживаемой трубки №2 (d1,5;2;3;4;5mm) цветной, шт";;;;;3,000;150,00;255,00
Набор шарошек MX-136, шт;;;;;1,000;120,00;230,00
Набор шестигранников (10 ключей), шт;;;;;7,000;315,00;560,00
Надувная подушка из ПВХ синяя (1011), шт;;;;;1,000;240,00;360,00
Надфиль, шт;;;;;12,000;192,00;480,00
Надфиль с алмаз.напылением, шт;;;;;1,000;47,00;80,00
Надфиль с ручкой , шт;;;;;12,000;279,96;600,00
Наклейка Георг. лента, шт;;;;;3,000;;450,00
Наклейка металл (Логотип золото) (0114) зол., шт;;;;;1,000;200,00;300,00
Наклейка на автомобиль малая (0096), шт;;;;;1,000;40,00;70,00
Наконечник для мультиметра банан шт (пара) (34240), шт;;;;;2,000;170,00;280,00
Нано-лента двусторонняя клейкая многоразовая, прозрачная, 1м (240), шт;;;;;1,000;39,00;70,00
Насадка из микрофибры для швабры , шт;;;;;2,000;140,00;300,00
Настенный держатель для гитары Fabio JH020, шт;;;;;2,000;378,00;700,00
Настольный кронштейн для монитора 01/НС, шт;;;;;1,000;1 592,00;2 650,00
Наушники  SmartBuy SBH-7000 Commando, шт;;;;;1,000;480,00;790,00
Наушники -гарнитура Mivo MT-04 (BT/FM/TF), шт;;;;;1,000;510,00;970,00
Наушники BOROFONE B 04 bluetooth, головные, шт;;;;;1,000;520,00;880,00
Наушники Defender -610, шт;;;;;1,000;90,00;170,00
Наушники Defender Basic-620, шт;;;;;1,000;95,00;170,00
Наушники Hoco M115 Sagacioous (Type-C), шт;;;;;1,000;130,00;230,00
Наушники Hoco M94, шт;;;;;1,000;100,00;180,00
Наушники Hoco-W35, шт;;;;;2,000;1 460,00;2 700,00
Наушники Ldnio HP05, шт;;;;;1,000;385,00;650,00
Наушники Mivo MT-07  гарнитура (bluetooth,FM,TF), шт;;;;;1,000;640,00;1 150,00
Наушники Mivo MT-08  гарнитура (bluetooth,FM,TF), шт;;;;;1,000;670,00;1 140,00
Наушники Mivo MT-10  гарнитура (bluetooth,FM,TF), шт;;;;;1,000;500,00;900,00
Наушники Mivo MT-13  гарнитура (bluetooth,FM,TF), шт;;;;;1,000;950,00;1 600,00
Наушники Mivo MT-14  гарнитура (bluetooth,FM,TF), шт;;;;;1,000;1 200,00;2 100,00
Наушники Mivo MT-21  гарнитура (bluetooth,FM,TF), шт;;;;;1,000;390,00;700,00
Наушники Mivo MT-22  гарнитура (bluetooth,FM,TF), шт;;;;;1,000;980,00;1 670,00
Наушники Mivo MT-32 гарнитура (bluetooth,FM,TF), шт;;;;;2,000;840,00;1 600,00
Наушники Mivo MT-35 гарнитура (bluetooth,FM,TF), шт;;;;;1,000;500,00;900,00
Наушники Mivo MT-80 гарнитура (bluetooth,FM,TF), шт;;;;;1,000;890,00;1 600,00
Наушники Mivo MT-85  гарнитура (bluetooth,FM,TF), шт;;;;;1,000;890,00;1 500,00
Наушники Ritmix - 004, шт;;;;;1,000;45,00;100,00
Наушники Ritmix - 130, шт;;;;;1,000;155,00;280,00
Наушники Ritmix - 524   , шт;;;;;1,000;380,00;720,00
Наушники Ritmix - 524   TV    , шт;;;;;2,000;820,00;1 500,00
Наушники Ritmix - 524 M (534), шт;;;;;1,000;460,00;780,00
Наушники Ritmix RH 525, шт;;;;;1,000;530,00;900,00
Наушники Smartbuy A4 SBE-012-011 белые, цветной пакет / вставные, шт;;;;;4,000;240,00;480,00
Наушники SmartT STE 3400-3300 Colar Trend , шт;;;;;2,000;170,00;300,00
Наушники беспров.Hoco EW28 , шт;;;;;2,000;1 300,00;2 340,00
Нитки капроновые, шт;;;;;43,000;387,00;860,00
Новогодний музык. фонарик с подсветкой и снежным вихрем Дед Мороз и Снегурочка белый К130-4093 , шт;;;;;1,000;1 404,30;2 390,00
Новогодний музык.фонарь с подсвет.Дед Мороз 20X10X10 см (130-898) 5v, шт;;;;;3,000;4 035,00;9 300,00
Новогодний музык.фонарь с подсвет.Дед Мороз 22X14X14 см (130-900) 5v, шт;;;;;1,000;1 292,00;2 200,00
Новогодний музык.фонарь с подсвет.Дед Мороз 25см (130-593), шт;;;;;1,000;1 171,80;1 990,00
Новогодний музык.фонарь с подсвет.Снеговик 25см (130-594), шт;;;;;1,000;1 171,80;1 990,00
Новогодний музыкальный фонарик с подсветкой и снежным вихрем вертолет Дед Мороз 47*11*22  К130-1102 , шт;;;;;1,000;8 037,00;9 800,00
Новогодний музыкальный фонарик с подсветкой и снежным вихрем Дед Мороз вращающийся  К130-1127 , шт;;;;;1,000;1 757,50;3 090,00
Новогодний музыкальный фонарик с подсветкой и снежным вихрем Дед Мороз и Снегурочка К130-4092, шт;;;;;4,000;5 617,20;9 560,00
Новогодний музыкальный фонарик с подсветкой и снежным вихрем домик Дед Мороз 24*15*8 см  К130-936, шт;;;;;2,000;3 450,00;5 900,00
Новогодний музыкальный фонарик с подсветкой и снежным вихрем заправочная станция Дед Мороз К130-1109, шт;;;;;1,000;2 945,00;4 950,00
Новогодний музыкальный фонарик с подсветкой и снежным вихрем карета Дед Мороз 20*12*19 см К130-944  , шт;;;;;2,000;3 847,50;6 500,00
Новогодний музыкальный фонарик с подсветкой и снежным вихрем лампа Дед Мороз 21*13*13 см К130-930   , шт;;;;;1,000;1 078,80;1 830,00
Новогодний музыкальный фонарик с подсветкой и снежным вихрем Снеговик К130-1231 , шт;;;;;4,000;4 687,20;7 960,00
Новогодний музыкальный фонарик с подсветкой свеча ёлочный шар Дед мороз (130-603), шт;;;;;2,000;2 510,00;3 800,00
Новогодний музыкальный фонарик с подсветкой свеча ёлочный шар Снеговик (130-604), шт;;;;;1,000;1 255,00;1 900,00
Новогодний музыкальный фонарик с подсветкой телефонная будка Дед Мороз 20*10*10 см K130-941   , шт;;;;;2,000;2 764,50;4 700,00
Новогодняя декорация подарочные коробки с подсветкой  25*25/20*20*/15*15 см 3 шт. розовыеК130-1134, шт;;;;;3,000;7 837,50;11 760,00
Новогодняя декорация подарочные коробки с подсветкой 25*25/20*20*/15*15 см  красн 130-591, шт;;;;;4,000;6 240,00;10 600,00
Новогодняя декорация подарочные коробки с подсветкой 25*25/20*20*/15*15 см 3 шт. красные К130-1133, шт;;;;;2,000;5 225,00;7 840,00
Новогодняя декорация подарочные коробки с подсветкой 25*25/20*20*/15*15 см 3 шт. сереб.К130-1132, шт;;;;;2,000;5 225,00;7 840,00
Новогодняя декорация подарочные коробки с подсветкой 25*25/20*20*/15*15 см 3 шт. серебряные130-589 , шт;;;;;6,000;9 360,00;15 900,00
Новогодняя декорация подарочные коробки с подсветкой 25*25/20*20*/15*15 см шампан 130-590, шт;;;;;1,000;1 687,95;2 790,00
Новогодняя декорация подарочные коробки с подсветкой золотые К130-1227 , шт;;;;;2,000;3 895,00;6 600,00
Новогодняя декорация Снеговики в коробке 28см (130-632) бел., шт;;;;;1,000;616,00;990,00
Новогодняя игрушка подвесн.фонарик с подсветк. 8см*6*12см (130-907), шт;;;;;3,000;405,00;690,00
"Новогодняя светодиод.игрушка""Олень"" 30см бел.(130-569), шт";;;;;1,000;675,00;1 450,00
"Новогодняя светодиод.игрушка""Олень"" 30см серебр.(130-570), шт";;;;;4,000;3 192,00;5 520,00
"Новогодняя светодиод.игрушка""Олень"" 30см шампан.(130-568), шт";;;;;4,000;2 920,20;5 160,00
"Новогодняя светодиод.игрушка""Олень"" 40см бел.(130-572), шт";;;;;6,000;6 270,00;10 680,00
"Новогодняя светодиод.игрушка""Олень"" 40см серебр.(130-573), шт";;;;;3,000;3 015,00;5 700,00
"Новогодняя светодиод.игрушка""Олень"" 50см серебро.(130-576), шт";;;;;1,000;1 230,25;2 090,00
"Новогодняя светодиод.игрушка""Олень"" 50см шампанс.(130-574), шт";;;;;2,000;2 460,50;4 180,00
"Новогодняя светодиод.игрушка""Олень"" 60см белый.(130-587), шт";;;;;7,000;10 773,00;18 550,00
"Новогодняя светодиод.игрушка""Олень"" 60см серебро.(130-588), шт";;;;;1,000;1 399,50;2 400,00
"Новогодняя светодиод.игрушка""Олень"" 60см шампан.(130-586), шт";;;;;1,000;1 539,00;2 600,00
Нож для мясорубки ( в пакете)(чудо-нож), шт;;;;;3,000;84,00;180,00
Нож канцелярский    Asmar -131  9мм       , шт;;;;;7,000;36,12;105,00
Нож канцелярский  3 лезвия, шт;;;;;2,000;96,00;180,00
Нож канцелярский  5 лезвий  (усил.)   мастер, шт;;;;;3,000;210,00;360,00
Нож канцелярский  Exprof, шт;;;;;1,000;50,00;90,00
Нож канцелярский 1 лезв   , шт;;;;;8,000;96,00;240,00
Нож-сетка в футляре к бритвам МИКМА 114,115, 120, 125,126, шт;;;;;1,000;93,60;160,00
Ножницы по металлу, шт;;;;;2,000;550,00;940,00
Ножовка 240мм X-Pert, шт;;;;;2,000;360,00;600,00
Ножовка складн 240мм Spark Lux, шт;;;;;1,000;270,00;470,00
Ночник  светодиод, шт;;;;;2,000;90,00;160,00
"Ночник NL-171 ""Фонарик"" (LED с выкл. 220V) Camelion, шт";;;;;2,000;280,90;480,00
"Ночник NL-177 ""Радуга"" (LED с выкл. 220V) Camelion, шт";;;;;1,000;170,86;290,00
"Ночник NL-178 ""Облако"" (LED с выкл. 220V) Camelion, шт";;;;;2,000;310,94;520,00
Ночник с лампочк., шт;;;;;4,000;140,00;400,00
Обогреватель кварцевый Centek CT-6140, 2 уровня мощности 1000 Вт/2000 Вт, ЗАЩИТА ПРИ ОПРОКИДЫВАНИИ, шт;;;;;1,000;1 540,19;2 650,00
Обогреватель кварцевый Centek CT-6141, 2 уровня мощности 1000 Вт/2000 Вт + Увлажнитель и вентилятор, шт;;;;;1,000;1 819,87;3 090,00
"Овощерезка ""Keggle slicer"" 20956, шт";;;;;2,000;780,00;1 580,00
Опасная бритва (устура) металл., шт;;;;;3,000;870,00;1 470,00
Оплетка паяльная 1mm х1,5m, шт;;;;;1,000;90,00;150,00
Оплетка паяльная 2,5mm х1,5m, шт;;;;;1,000;110,00;185,00
Оплетка паяльная 2mm х1,5m, шт;;;;;2,000;200,00;340,00
Оплетка паяльная 3,5mm х1,5m, шт;;;;;2,000;300,00;500,00
Оплетка паяльная 3mm х1,5m, шт;;;;;2,000;260,00;440,00
Оплетка паяльная 4mm х1,5m, шт;;;;;1,000;160,00;270,00
ОРБИТА OT-AVW50 HDMI СПЛИТТЕР (1 ВХОД HDMI - 2 ВЫХОДА HDMI), шт;;;;;1,000;290,00;500,00
Орехокол Fackelmann, шт;;;;;2,000;270,00;500,00
Отвертка -детектор скрыт.проводки, шт;;;;;1,000;110,00;200,00
Отвертка 2-х сторон. (мяч), шт;;;;;2,000;180,00;320,00
Отвёртка 2-х сторон. выдвижная _жёлт-красн,), шт;;;;;2,000;64,00;150,00
Отвертка 2х стор. выдвиж.X-pert (б), шт;;;;;3,000;171,00;300,00
Отвертка 2х стр. (б.)     , шт;;;;;2,000;32,00;160,00
Отвертка 2х стр. (ср.)      , шт;;;;;5,000;75,00;300,00
Отвертка 2х стр. (толст.)       , шт;;;;;5,000;90,00;300,00
Отвертка 2х стр. м., шт;;;;;4,000;48,00;100,00
Отвертка 4х битная, шт;;;;;2,000;160,00;300,00
Отвёртка 608, шт;;;;;2,000;260,00;440,00
Отвёртка Ex Profi (б), шт;;;;;1,000;55,00;100,00
Отвертка индикаторн.         1х30, шт;;;;;4,000;72,00;120,00
